Date,Temperature,Humidity,Wind Speed,Rainfall
2023-08-30,39.3,88.4,17.7,40.1
2023-08-31,14.1,91.0,14.5,26.2
2023-09-01,17.7,36.8,21.3,46.7
2023-09-02,34.5,44.8,3.2,35.9
2023-09-03,19.8,34.5,2.9,8.1
2023-09-04,30.0,95.0,19.6,30.3
2023-09-05,20.4,97.6,10.8,16.0
2023-09-06,34.4,49.9,1.7,48.1
2023-09-07,17.4,64.0,24.5,14.9
2023-09-08,37.9,63.8,11.0,20.7
2023-09-09,26.9,40.3,22.0,0.2
2023-09-10,32.3,89.6,9.4,32.0
2023-09-11,35.7,85.2,13.5,29.2
2023-09-12,30.8,82.1,17.9,15.9
2023-09-13,33.0,42.8,21.3,5.7
2023-09-14,11.1,28.2,23.7,38.7
2023-09-15,22.4,39.0,12.0,27.4
2023-09-16,29.5,81.3,12.3,2.8
2023-09-17,37.0,95.0,19.0,37.7
2023-09-18,15.8,94.7,19.5,5.0
2023-09-19,39.6,70.0,5.3,25.7
2023-09-20,17.3,71.5,13.7,23.5
2023-09-21,25.5,70.9,3.3,20.0
2023-09-22,19.8,59.3,14.2,45.5
2023-09-23,24.2,65.2,17.2,8.1
2023-09-24,28.7,93.2,8.1,40.1
2023-09-25,21.0,26.8,12.7,3.4
2023-09-26,39.5,39.7,11.5,24.3
2023-09-27,36.3,40.7,16.2,25.8
2023-09-28,18.9,73.8,4.1,42.3
2023-09-29,25.0,97.3,2.8,43.3
2023-09-30,29.6,98.7,6.4,24.0
2023-10-01,27.1,43.9,6.0,3.8
2023-10-02,24.4,65.3,3.5,35.8
2023-10-03,17.7,92.8,13.8,31.7
2023-10-04,20.1,81.1,5.3,7.0
2023-10-05,38.1,68.4,9.2,41.5
2023-10-06,12.5,49.1,19.6,49.1
2023-10-07,12.2,70.9,2.2,16.3
2023-10-08,24.1,58.4,1.1,8.6
2023-10-09,13.6,56.6,19.5,3.7
2023-10-10,29.6,49.6,24.7,3.8
2023-10-11,38.2,21.8,3.9,43.5
2023-10-12,37.1,76.8,24.7,29.3
2023-10-13,19.1,31.1,17.3,43.3
2023-10-14,29.6,80.5,4.5,7.8
2023-10-15,25.9,48.8,10.3,38.3
2023-10-16,26.6,90.4,20.1,12.9
2023-10-17,14.0,85.9,15.5,44.8
2023-10-18,32.5,41.2,8.5,8.8
2023-10-19,14.6,88.9,7.5,28.1
2023-10-20,19.7,42.9,19.5,49.7
2023-10-21,10.7,23.1,13.7,24.1
2023-10-22,29.3,37.9,16.9,11.2
2023-10-23,27.6,26.0,22.2,6.5
2023-10-24,37.7,33.4,24.2,8.0
2023-10-25,34.7,60.4,20.6,45.6
2023-10-26,31.0,75.0,15.3,37.3
2023-10-27,18.6,31.2,19.4,37.3
2023-10-28,29.4,91.1,24.1,8.6
2023-10-29,36.0,96.0,16.8,34.9
2023-10-30,27.5,91.2,16.1,9.6
2023-10-31,27.2,47.3,23.6,33.2
2023-11-01,12.4,42.5,17.6,40.7
2023-11-02,29.2,33.4,9.3,19.8
2023-11-03,15.2,57.9,7.0,48.2
2023-11-04,25.8,76.2,3.2,4.3
2023-11-05,22.4,78.6,4.0,8.9
2023-11-06,35.6,87.3,9.1,40.6
2023-11-07,18.1,22.9,8.3,33.4
2023-11-08,20.3,56.8,3.6,9.8
2023-11-09,21.6,50.4,9.8,23.6
2023-11-10,27.8,31.9,24.0,8.5
2023-11-11,22.3,77.1,1.2,31.8
2023-11-12,14.6,21.8,2.7,29.0
2023-11-13,22.2,88.2,11.5,13.6
2023-11-14,21.7,86.6,24.5,49.1
2023-11-15,25.5,75.2,23.7,45.5
2023-11-16,28.7,57.2,16.0,37.7
2023-11-17,23.2,27.9,23.6,37.1
2023-11-18,11.1,91.9,10.9,16.2
2023-11-19,29.8,71.8,6.1,49.8
2023-11-20,19.1,34.5,24.4,32.7
2023-11-21,27.8,56.2,14.5,37.2
2023-11-22,32.4,99.7,19.6,14.8
2023-11-23,33.2,58.6,4.6,47.7
2023-11-24,31.9,32.2,7.9,33.2
2023-11-25,22.8,22.5,20.2,28.5
2023-11-26,23.9,82.1,3.5,42.9
2023-11-27,30.1,86.8,8.0,46.7
2023-11-28,15.4,62.5,16.5,11.2
2023-11-29,13.8,95.6,2.9,2.9
2023-11-30,30.8,83.4,21.8,22.2
2023-12-01,14.9,40.7,18.3,0.5
2023-12-02,17.5,45.7,6.7,8.4
2023-12-03,13.0,54.2,17.1,32.9
2023-12-04,18.5,30.4,15.5,19.6
2023-12-05,20.1,33.3,13.0,45.9
2023-12-06,19.5,96.2,11.9,15.9
2023-12-07,39.8,56.5,19.9,40.2
2023-12-08,39.6,45.9,4.9,27.0
2023-12-09,20.3,55.1,17.7,25.9
2023-12-10,35.5,49.4,22.7,36.9
2023-12-11,14.3,83.2,14.2,14.3
2023-12-12,35.0,58.9,11.5,38.2
2023-12-13,37.7,75.9,24.6,37.7
2023-12-14,27.0,84.4,15.6,47.0
2023-12-15,35.5,26.8,9.6,18.0
2023-12-16,38.9,32.9,10.0,0.3
2023-12-17,20.0,70.8,24.1,21.0
2023-12-18,17.2,99.4,7.7,8.3
2023-12-19,39.7,78.3,15.6,48.2
2023-12-20,39.4,66.8,14.2,24.5
2023-12-21,15.5,27.7,12.4,36.4
2023-12-22,30.1,51.8,20.7,26.6
2023-12-23,22.2,56.8,3.7,18.9
2023-12-24,17.1,60.8,11.2,28.1
2023-12-25,27.6,57.9,7.5,27.0
2023-12-26,36.6,65.1,16.5,48.0
2023-12-27,22.5,65.2,22.4,32.2
2023-12-28,12.7,81.3,5.4,36.6
2023-12-29,15.0,25.5,12.1,22.9
2023-12-30,13.8,95.4,23.4,45.5
2023-12-31,29.8,69.8,22.1,26.2
2024-01-01,16.9,81.5,5.9,5.3
2024-01-02,33.5,21.9,17.0,36.9
2024-01-03,30.0,70.3,21.2,10.3
2024-01-04,29.3,62.4,22.1,10.6
2024-01-05,31.5,27.1,21.2,42.4
2024-01-06,35.1,76.6,13.5,29.1
2024-01-07,38.5,62.3,6.3,32.6
2024-01-08,16.1,28.3,6.3,49.5
2024-01-09,26.8,20.8,4.7,42.2
2024-01-10,31.8,41.1,18.0,27.4
2024-01-11,34.9,95.9,19.1,2.8
2024-01-12,26.1,54.4,13.5,28.2
2024-01-13,39.9,80.1,8.9,42.0
2024-01-14,25.7,79.3,13.3,31.0
2024-01-15,38.4,25.4,7.1,17.8
2024-01-16,39.3,48.4,21.5,28.5
2024-01-17,36.3,98.3,4.1,38.5
2024-01-18,22.7,88.2,17.4,7.3
2024-01-19,37.8,22.3,19.2,49.0
2024-01-20,17.1,39.9,4.5,27.0
2024-01-21,17.7,54.5,23.8,6.4
2024-01-22,19.8,88.2,17.2,1.6
2024-01-23,28.9,43.0,15.3,19.5
2024-01-24,10.5,68.2,15.8,47.5
2024-01-25,13.2,27.7,1.0,0.7
2024-01-26,26.7,56.3,14.3,15.5
2024-01-27,36.6,56.3,23.4,44.4
2024-01-28,17.3,44.0,17.4,49.7
2024-01-29,32.4,48.0,12.0,1.9
2024-01-30,19.6,94.9,5.1,2.9
2024-01-31,26.7,31.8,19.2,36.6
2024-02-01,15.6,45.8,5.2,9.3
2024-02-02,25.4,50.8,2.4,24.7
2024-02-03,39.9,27.8,19.2,22.9
2024-02-04,21.2,61.7,6.2,39.1
2024-02-05,20.6,65.8,14.4,6.5
2024-02-06,30.2,60.3,14.8,31.2
2024-02-07,26.5,23.5,4.1,30.7
2024-02-08,18.2,39.4,2.6,23.7
2024-02-09,35.9,27.7,11.4,12.4
2024-02-10,20.3,35.2,17.1,48.0
2024-02-11,16.2,46.8,18.9,18.6
2024-02-12,26.1,58.8,14.9,2.3
2024-02-13,35.6,93.5,18.5,20.8
2024-02-14,27.4,45.5,11.1,14.3
2024-02-15,34.4,27.2,10.4,28.1
2024-02-16,39.7,78.2,7.9,6.2
2024-02-17,31.1,37.1,10.4,44.5
2024-02-18,34.1,23.4,14.7,40.0
2024-02-19,15.9,45.8,2.2,44.3
2024-02-20,33.0,43.3,20.8,6.5
2024-02-21,22.6,91.1,18.3,17.9
2024-02-22,32.8,81.4,4.9,43.5
2024-02-23,24.0,63.6,11.3,11.2
2024-02-24,20.2,45.8,22.1,1.0
2024-02-25,24.8,54.2,17.6,25.7
2024-02-26,28.9,91.2,14.0,13.4
2024-02-27,29.9,92.1,10.5,1.6
2024-02-28,11.8,94.4,23.6,20.0
2024-02-29,23.2,34.9,8.2,40.0
2024-03-01,13.9,23.0,16.4,22.6
2024-03-02,31.6,52.6,24.6,19.8
2024-03-03,24.7,62.3,12.5,39.0
2024-03-04,30.7,55.4,9.5,35.6
2024-03-05,12.5,44.1,10.6,24.2
2024-03-06,31.2,61.4,7.2,49.7
2024-03-07,16.4,26.1,7.0,44.0
2024-03-08,10.9,55.7,17.3,16.3
2024-03-09,24.7,27.9,1.3,14.4
2024-03-10,29.4,99.6,6.5,8.6
2024-03-11,25.8,45.0,15.7,30.9
2024-03-12,19.7,76.1,13.4,5.9
2024-03-13,24.1,79.0,6.8,39.0
2024-03-14,27.6,44.2,3.3,33.2
2024-03-15,37.3,75.4,4.2,3.3
2024-03-16,30.5,26.6,12.3,31.4
2024-03-17,28.7,28.2,10.8,28.7
2024-03-18,18.1,59.5,8.1,21.7
2024-03-19,29.0,56.9,11.0,0.8
2024-03-20,18.3,93.0,17.6,5.1
2024-03-21,13.0,32.2,6.4,39.0
2024-03-22,23.6,84.6,11.6,47.7
2024-03-23,38.0,78.3,18.9,3.8
2024-03-24,26.0,65.3,16.7,25.2
2024-03-25,37.8,33.3,2.9,39.3
2024-03-26,21.0,34.1,11.3,3.2
2024-03-27,22.5,46.9,21.7,24.6
2024-03-28,14.6,55.7,14.2,32.5
2024-03-29,35.5,40.9,3.5,5.6
2024-03-30,27.4,34.6,8.5,21.7
2024-03-31,17.8,78.4,16.9,28.0
2024-04-01,38.6,26.2,16.1,21.0
2024-04-02,17.5,90.6,24.9,6.0
2024-04-03,23.3,23.4,19.2,5.4
2024-04-04,14.1,70.1,15.5,18.2
2024-04-05,22.1,39.5,23.4,29.0
2024-04-06,11.0,64.9,8.6,27.8
2024-04-07,37.3,62.1,14.1,35.7
2024-04-08,25.0,98.1,14.7,7.1
2024-04-09,24.4,44.9,23.0,48.1
2024-04-10,34.4,71.5,14.0,41.4
2024-04-11,14.1,45.6,5.2,13.2
2024-04-12,31.5,75.2,5.9,41.7
2024-04-13,10.3,91.5,14.7,1.9
2024-04-14,33.5,30.2,1.9,46.4
2024-04-15,14.1,34.8,5.1,30.1
2024-04-16,33.4,94.4,17.2,26.0
2024-04-17,23.2,93.0,16.5,3.8
2024-04-18,21.8,91.9,12.6,1.4
2024-04-19,28.3,81.8,5.4,20.3
2024-04-20,29.2,85.2,23.2,26.7
2024-04-21,35.0,24.7,19.9,5.1
2024-04-22,25.1,69.9,10.8,16.4
2024-04-23,36.1,63.8,6.7,30.9
2024-04-24,17.8,50.5,15.6,38.4
2024-04-25,22.0,36.2,9.0,35.7
2024-04-26,34.2,48.8,20.8,48.4
2024-04-27,16.9,78.9,14.3,44.2
2024-04-28,15.5,65.8,17.1,29.0
2024-04-29,14.0,38.3,9.7,11.9
2024-04-30,28.5,92.8,25.0,13.8
2024-05-01,14.8,41.7,10.9,26.4
2024-05-02,26.4,33.1,4.1,21.1
2024-05-03,22.6,80.3,15.3,25.1
2024-05-04,15.6,87.0,24.5,19.2
2024-05-05,17.5,80.5,9.1,10.0
2024-05-06,31.6,71.4,18.9,11.3
2024-05-07,11.0,97.8,16.0,6.1
2024-05-08,15.4,87.9,18.4,5.6
2024-05-09,18.0,64.7,14.6,16.4
2024-05-10,20.7,78.0,4.2,43.5
2024-05-11,26.4,29.0,10.7,4.9
2024-05-12,27.2,63.1,22.5,11.5
2024-05-13,20.7,70.1,14.6,42.1
2024-05-14,23.6,55.2,5.6,49.0
2024-05-15,25.5,37.7,21.9,24.0
2024-05-16,14.9,72.9,6.6,22.2
2024-05-17,38.3,45.7,16.8,29.0
2024-05-18,23.3,33.5,3.7,38.5
2024-05-19,19.5,24.7,21.3,45.6
2024-05-20,35.3,55.9,2.4,23.1
2024-05-21,12.6,27.9,10.3,47.7
2024-05-22,19.4,53.4,12.6,49.4
2024-05-23,22.0,66.5,3.3,17.6
2024-05-24,19.5,74.5,9.2,32.8
2024-05-25,14.4,93.8,9.5,12.5
2024-05-26,24.1,98.7,5.0,15.1
2024-05-27,38.4,56.5,22.0,19.4
2024-05-28,12.3,70.7,22.7,2.7
2024-05-29,34.3,28.7,1.1,19.2
2024-05-30,35.3,20.5,3.8,25.5
2024-05-31,37.7,68.0,21.6,33.4
2024-06-01,27.5,85.2,13.3,32.2
2024-06-02,11.3,48.1,7.9,6.4
2024-06-03,15.4,91.1,3.3,36.9
2024-06-04,15.1,37.9,22.3,34.9
2024-06-05,12.5,77.5,20.4,9.7
2024-06-06,32.4,48.2,11.5,4.9
2024-06-07,17.5,58.9,6.2,19.1
2024-06-08,39.1,59.0,20.8,1.0
2024-06-09,18.0,82.3,6.4,10.8
2024-06-10,22.3,80.5,10.9,38.2
2024-06-11,23.6,55.7,24.0,7.4
2024-06-12,10.2,42.1,11.8,40.8
2024-06-13,37.2,77.6,16.9,34.9
2024-06-14,37.0,77.1,9.7,17.4
2024-06-15,31.5,29.5,6.7,38.2
2024-06-16,18.0,29.0,10.7,8.9
2024-06-17,19.9,97.2,9.5,35.4
2024-06-18,13.5,71.0,4.2,32.0
2024-06-19,33.9,36.3,15.9,22.6
2024-06-20,35.4,54.8,5.7,1.0
2024-06-21,18.1,28.3,22.9,32.2
2024-06-22,37.0,37.4,11.1,40.7
2024-06-23,38.0,48.9,14.0,49.2
2024-06-24,25.0,60.2,22.4,48.2
2024-06-25,13.0,98.7,21.5,7.9
2024-06-26,12.8,97.7,15.0,38.6
2024-06-27,13.4,53.4,24.3,27.9
2024-06-28,32.2,96.6,8.1,27.4
2024-06-29,16.4,24.8,22.2,29.9
2024-06-30,30.5,65.7,8.1,45.0
2024-07-01,20.1,35.6,4.3,49.7
2024-07-02,39.7,77.6,3.3,45.3
2024-07-03,16.4,79.8,6.9,6.1
2024-07-04,13.4,66.5,5.2,38.2
2024-07-05,22.5,35.2,14.0,11.3
2024-07-06,23.9,54.8,9.5,43.2
2024-07-07,30.2,31.4,5.3,15.7
2024-07-08,25.9,46.7,12.6,46.4
2024-07-09,16.8,44.2,12.4,4.4
2024-07-10,36.8,53.3,10.0,14.7
2024-07-11,14.5,63.3,10.4,46.6
2024-07-12,12.8,73.8,9.9,23.3
2024-07-13,18.6,37.2,17.3,31.9
2024-07-14,21.0,90.8,24.2,25.2
2024-07-15,39.3,47.1,21.2,12.2
2024-07-16,34.8,80.1,9.8,38.6
2024-07-17,25.2,95.6,3.9,30.9
2024-07-18,26.8,95.0,12.8,37.6
2024-07-19,36.7,20.4,3.2,36.7
2024-07-20,32.6,55.4,10.3,30.5
2024-07-21,29.6,98.6,20.8,24.4
2024-07-22,26.3,57.6,19.8,44.7
2024-07-23,10.5,83.8,2.0,49.6
2024-07-24,27.4,68.3,5.3,16.1
2024-07-25,32.7,20.5,1.6,19.1
2024-07-26,38.6,58.3,2.9,5.6
2024-07-27,35.2,26.1,2.2,12.6
2024-07-28,33.4,41.0,2.1,48.2
2024-07-29,12.9,93.2,19.8,2.6
2024-07-30,34.7,21.0,17.1,29.8
2024-07-31,27.7,26.1,23.9,43.9
2024-08-01,23.1,90.3,21.8,39.9
2024-08-02,16.4,63.4,7.1,47.1
2024-08-03,26.5,71.8,15.7,20.5
2024-08-04,39.8,66.6,19.6,30.6
2024-08-05,25.5,64.0,8.7,32.7
2024-08-06,18.5,88.7,14.8,44.8
2024-08-07,21.0,78.3,8.6,26.6
2024-08-08,19.2,87.4,8.3,17.9
2024-08-09,27.6,22.0,13.3,39.5
2024-08-10,27.1,61.4,13.7,14.8
2024-08-11,16.0,34.2,2.8,17.1
2024-08-12,26.9,42.8,4.3,46.2
2024-08-13,39.5,92.0,19.3,31.5
2024-08-14,16.9,70.3,20.5,14.3
2024-08-15,17.7,58.1,13.9,13.3
2024-08-16,22.4,62.6,2.2,35.9
2024-08-17,15.5,97.9,4.9,0.1
2024-08-18,32.3,67.0,3.2,30.3
2024-08-19,38.3,20.7,19.4,37.9
2024-08-20,12.6,39.7,21.1,20.9
2024-08-21,11.0,27.7,20.1,21.6
2024-08-22,20.3,40.5,9.9,6.4
2024-08-23,32.7,90.1,11.5,27.9
2024-08-24,34.1,56.4,12.7,2.8
2024-08-25,10.4,57.2,17.1,9.8
2024-08-26,34.6,76.3,23.2,23.2
2024-08-27,20.4,98.0,13.7,46.8
2024-08-28,11.2,20.6,15.0,32.7
2024-08-29,32.9,93.4,17.2,29.9
2024-08-30,16.8,41.4,9.8,14.1
2024-08-31,27.6,22.3,17.2,28.8
2024-09-01,31.9,45.8,12.9,9.1
2024-09-02,21.8,80.6,20.8,5.0
2024-09-03,28.0,74.3,13.3,5.9
2024-09-04,10.2,96.8,12.8,28.6
2024-09-05,32.0,82.4,10.5,44.1
2024-09-06,21.5,66.2,19.0,40.4
2024-09-07,29.7,40.6,15.6,41.0
2024-09-08,30.8,47.3,20.3,16.0
2024-09-09,16.5,41.7,21.3,37.5
2024-09-10,38.8,50.6,24.8,6.8
2024-09-11,24.9,26.0,16.8,27.9
2024-09-12,13.2,42.7,14.8,12.1
2024-09-13,25.7,30.1,8.0,16.2
2024-09-14,13.0,60.2,20.0,29.6
2024-09-15,33.5,34.8,6.0,31.5
2024-09-16,20.3,57.4,13.2,38.4
2024-09-17,31.9,78.2,8.3,44.1
2024-09-18,33.6,39.2,10.4,4.3
2024-09-19,10.7,56.5,5.0,39.8
2024-09-20,28.6,30.2,17.4,27.9
2024-09-21,14.7,93.8,11.0,29.6
2024-09-22,37.5,81.5,12.2,15.9
2024-09-23,15.5,79.4,20.4,31.6
2024-09-24,10.4,58.7,8.1,33.8
2024-09-25,22.7,72.2,21.8,35.2
2024-09-26,12.3,54.8,12.0,19.8
2024-09-27,33.4,90.8,1.7,34.1
2024-09-28,13.0,98.7,22.1,29.7
2024-09-29,33.1,61.1,5.0,4.4
2024-09-30,22.4,43.1,21.5,41.6
2024-10-01,21.5,93.8,7.4,38.2
2024-10-02,33.1,50.9,3.1,48.3
2024-10-03,30.0,33.1,6.3,42.8
2024-10-04,23.4,40.6,14.4,48.0
2024-10-05,22.0,89.5,4.6,19.4
2024-10-06,28.4,93.0,17.9,24.0
2024-10-07,37.0,53.1,14.8,49.7
2024-10-08,37.9,50.8,21.4,29.6
2024-10-09,30.9,46.1,17.3,38.2
2024-10-10,17.3,58.4,2.7,21.2
2024-10-11,37.1,76.6,10.5,24.1
2024-10-12,13.7,95.5,5.3,8.2
2024-10-13,16.2,79.8,12.8,34.5
2024-10-14,22.8,25.4,11.0,0.8
2024-10-15,13.1,95.0,8.3,35.4
2024-10-16,24.5,59.5,17.1,6.1
2024-10-17,22.4,61.2,6.8,41.9
2024-10-18,33.5,75.7,7.4,29.6
2024-10-19,23.6,87.3,18.2,17.7
2024-10-20,28.2,78.4,5.4,32.5
2024-10-21,35.7,78.5,20.1,7.5
2024-10-22,13.1,93.1,16.7,21.3
2024-10-23,14.4,43.7,19.1,23.3
2024-10-24,15.0,55.4,8.6,24.3
2024-10-25,39.1,40.8,8.2,31.8
2024-10-26,13.6,58.9,7.4,27.4
2024-10-27,37.5,66.5,14.3,48.7
2024-10-28,15.1,94.3,16.1,22.4
2024-10-29,16.2,92.2,24.4,48.6
2024-10-30,22.0,76.4,11.3,38.7
2024-10-31,38.0,66.4,6.9,12.3
2024-11-01,28.2,92.5,17.4,17.7
2024-11-02,27.6,26.0,18.2,46.3
2024-11-03,13.7,28.7,23.8,39.1
2024-11-04,16.6,96.7,15.0,28.5
2024-11-05,20.6,41.0,11.3,7.0
2024-11-06,21.4,73.1,22.2,43.5
2024-11-07,36.7,89.1,20.4,37.7
2024-11-08,14.5,28.5,12.0,15.4
2024-11-09,11.1,33.6,7.1,46.8
2024-11-10,19.3,62.3,1.7,33.8
2024-11-11,36.7,93.3,10.4,38.6
2024-11-12,28.2,90.7,18.0,1.5
2024-11-13,16.8,25.7,16.7,28.7
2024-11-14,18.5,40.7,14.8,43.0
2024-11-15,36.9,61.6,18.4,24.4
2024-11-16,18.0,52.2,18.6,45.7
2024-11-17,23.1,27.7,14.6,11.1
2024-11-18,16.1,21.0,20.3,49.7
2024-11-19,18.5,93.4,6.1,14.7
2024-11-20,17.6,25.2,12.2,20.6
2024-11-21,11.5,86.6,5.4,40.6
2024-11-22,24.8,85.6,18.7,2.2
2024-11-23,34.5,47.2,16.3,20.0
2024-11-24,33.4,62.7,14.8,18.6
2024-11-25,16.9,35.5,10.7,6.4
2024-11-26,32.2,77.1,3.9,5.4
2024-11-27,34.3,55.3,22.6,29.7
2024-11-28,16.7,99.3,24.8,24.7
2024-11-29,12.6,54.8,21.0,42.2
2024-11-30,26.9,71.6,8.2,34.2
2024-12-01,21.0,53.4,24.2,44.4
2024-12-02,10.7,89.7,13.6,20.1
2024-12-03,35.9,92.7,17.7,38.6
2024-12-04,30.7,90.2,19.3,19.0
2024-12-05,32.5,36.2,12.0,34.5
2024-12-06,38.2,88.8,22.7,39.9
2024-12-07,17.4,33.2,7.8,25.9
2024-12-08,33.2,41.1,12.4,39.2
2024-12-09,27.5,53.4,12.4,40.4
2024-12-10,31.6,74.8,12.9,6.2
2024-12-11,13.4,26.7,10.1,15.6
2024-12-12,38.6,78.2,23.9,37.5
2024-12-13,34.1,38.5,6.2,48.0
2024-12-14,34.0,59.2,13.4,38.0
2024-12-15,16.4,71.0,24.5,13.1
2024-12-16,39.5,45.4,20.6,30.6
2024-12-17,14.0,87.3,24.6,27.7
2024-12-18,33.7,58.3,8.9,38.7
2024-12-19,39.5,95.7,20.0,48.9
2024-12-20,33.4,47.5,20.4,14.1
2024-12-21,33.9,20.1,23.3,48.0
2024-12-22,14.1,80.1,5.9,42.0
2024-12-23,35.3,60.0,21.6,27.9
2024-12-24,28.3,22.2,5.1,45.5
2024-12-25,33.4,32.4,24.8,43.8
2024-12-26,31.2,91.8,17.7,15.1
2024-12-27,37.2,35.0,18.9,2.3
2024-12-28,13.7,93.0,20.5,33.9
2024-12-29,25.6,88.7,12.8,29.4
2024-12-30,30.6,91.7,10.5,45.4
2024-12-31,30.5,28.7,7.5,12.7
2025-01-01,32.4,68.2,16.6,34.7
2025-01-02,17.6,22.2,9.4,20.7
2025-01-03,28.8,38.5,11.9,4.2
2025-01-04,32.1,39.1,11.6,21.6
2025-01-05,10.8,67.6,3.7,16.7
2025-01-06,26.6,85.4,15.0,22.0
2025-01-07,33.0,62.0,20.1,49.7
2025-01-08,30.0,29.0,5.3,42.9
2025-01-09,18.4,43.3,1.6,4.8
2025-01-10,32.5,90.7,10.2,48.1
2025-01-11,38.6,75.9,25.0,25.6
2025-01-12,23.7,73.4,20.5,39.3
2025-01-13,30.2,75.3,19.5,27.6
2025-01-14,29.9,66.1,16.9,20.7
2025-01-15,25.4,61.6,24.8,3.9
2025-01-16,36.6,78.5,8.1,30.1
2025-01-17,30.0,73.7,11.0,7.9
2025-01-18,23.6,80.3,20.7,8.7
2025-01-19,29.6,95.4,2.5,6.2
2025-01-20,34.3,27.8,13.8,3.7
2025-01-21,22.6,38.5,16.2,25.3
2025-01-22,14.9,20.3,6.0,16.3
2025-01-23,36.8,59.0,18.9,22.4
2025-01-24,32.1,52.1,22.0,10.2
2025-01-25,16.1,90.5,10.3,45.6
2025-01-26,32.5,98.8,19.8,36.5
2025-01-27,23.8,91.0,4.6,23.7
2025-01-28,31.6,88.4,14.2,6.1
2025-01-29,35.2,87.7,22.9,8.5
2025-01-30,27.2,68.2,1.5,40.1
2025-01-31,27.8,71.3,11.6,11.9
2025-02-01,21.0,20.4,8.5,19.3
2025-02-02,14.9,84.9,23.9,48.5
2025-02-03,22.0,43.9,7.0,22.9
2025-02-04,19.5,21.6,9.3,15.9
2025-02-05,10.8,85.2,19.9,20.3
2025-02-06,27.2,96.3,3.2,33.9
2025-02-07,36.3,80.1,15.0,35.4
2025-02-08,34.8,88.2,21.7,6.9
2025-02-09,29.9,73.2,10.8,7.8
2025-02-10,19.2,29.3,11.0,31.1
2025-02-11,12.0,69.3,3.6,31.6
2025-02-12,35.7,43.0,18.3,12.9
2025-02-13,35.3,65.3,20.9,25.2
2025-02-14,25.7,82.0,13.0,10.3
2025-02-15,12.6,71.6,13.7,43.2
2025-02-16,31.9,78.8,4.4,7.6
2025-02-17,25.5,63.4,8.5,6.1
2025-02-18,36.8,82.9,14.1,48.1
2025-02-19,21.6,88.6,2.7,19.9
2025-02-20,21.8,61.5,12.9,32.2
2025-02-21,16.5,49.9,8.7,31.2
2025-02-22,12.2,56.5,10.1,46.4
2025-02-23,32.5,30.8,17.1,24.7
2025-02-24,20.3,92.4,3.3,12.5
2025-02-25,31.8,82.8,5.3,37.0
2025-02-26,34.1,95.3,23.2,46.7
2025-02-27,28.3,69.8,7.3,49.6
2025-02-28,28.8,55.4,3.3,43.4
2025-03-01,38.2,75.0,24.2,1.5
2025-03-02,26.3,72.9,3.3,6.9
2025-03-03,30.0,93.0,16.3,45.0
2025-03-04,32.4,48.5,18.1,18.0
2025-03-05,26.3,78.3,12.7,44.1
2025-03-06,20.8,30.5,21.2,23.2
2025-03-07,32.6,72.0,11.1,44.7
2025-03-08,19.2,91.0,19.4,31.4
2025-03-09,30.1,71.7,22.8,4.6
2025-03-10,14.0,72.7,10.8,36.5
2025-03-11,38.2,68.0,10.8,18.2
2025-03-12,16.4,65.3,10.9,41.8
2025-03-13,35.2,36.6,2.5,21.9
2025-03-14,24.4,67.7,5.4,23.5
2025-03-15,36.4,37.4,11.9,16.7
2025-03-16,36.1,92.5,24.3,27.4
2025-03-17,36.2,50.2,2.8,49.6
2025-03-18,13.5,68.6,9.9,38.4
2025-03-19,25.9,66.8,16.7,7.0
2025-03-20,33.5,97.0,1.2,43.3
2025-03-21,15.1,90.5,17.3,38.0
2025-03-22,31.0,94.8,16.1,39.1
2025-03-23,25.6,100.0,5.2,19.0
2025-03-24,36.3,36.9,10.8,23.7
2025-03-25,19.5,45.1,19.0,31.2
2025-03-26,38.3,67.8,11.6,35.2
2025-03-27,29.9,92.8,20.6,34.6
2025-03-28,14.7,41.0,5.3,17.6
2025-03-29,29.4,27.5,20.5,34.4
2025-03-30,21.0,81.2,11.7,43.8
2025-03-31,37.3,60.0,14.1,11.5
2025-04-01,21.6,84.8,24.4,22.0
2025-04-02,34.6,85.9,7.8,2.2
2025-04-03,11.8,57.0,6.6,27.7
2025-04-04,18.5,70.2,4.5,37.0
2025-04-05,11.3,63.9,21.6,17.2
2025-04-06,38.0,97.5,16.2,6.2
2025-04-07,24.7,84.6,1.3,38.4
2025-04-08,29.4,45.3,17.6,5.2
2025-04-09,26.9,87.5,23.8,4.3
2025-04-10,15.7,46.2,11.6,34.6
2025-04-11,22.0,32.2,14.8,38.2
2025-04-12,13.4,40.9,15.6,42.8
2025-04-13,18.2,20.3,9.9,41.7
2025-04-14,14.8,81.2,12.6,6.0
2025-04-15,20.3,35.8,2.5,39.2
2025-04-16,13.8,66.2,9.0,47.7
2025-04-17,29.8,83.2,8.6,12.6
2025-04-18,14.1,46.7,24.6,17.6
2025-04-19,13.6,56.9,22.9,44.5
2025-04-20,20.6,89.6,20.7,10.7
2025-04-21,34.9,76.1,7.6,7.1
2025-04-22,17.7,63.7,13.9,48.8
2025-04-23,26.9,58.7,25.0,35.3
2025-04-24,31.0,23.8,5.0,20.4
2025-04-25,19.1,90.7,14.2,16.3
2025-04-26,14.8,65.0,9.9,10.5
2025-04-27,25.6,85.7,22.3,20.8
